statement,label
Glue is blue.,0
Novels are shovels.,0
Mangosteens are tropical fruits.,1
Grapes are vine fruits.,1
Snakes are serpents.,1
Licorice is not a sweet treat.,0
Spoons are moons.,0
Mountains are peaks.,1
Collies are lollies.,0
Spinach is a finch.,0
Marbles are game pieces.,1
Crocuses are early spring flowers.,1
Pufferfish are inflatable fish.,1
Valleys are alleys.,0
Rivers are slivers.,0
Burgers are mergers.,0
Waders are boots.,1
Rattlesnakes are venomous reptiles.,1
Narwhals are tusked whales.,1
Turkeys are keys.,0
Knives are cutlery.,1
Bridges are connective structures.,1
Popcorn is not an acorn.,1
Otters are potter's clay.,0
Beds are pieces of furniture.,1
Flowers are towers.,0
Asparagus is a green vegetable.,1
Umbilicals are umbilicals.,0
Duvets are bouquets.,0
Cuckoo clocks are socks.,0
Bread is not red.,1
Mini-buses are small passenger vehicles.,1
Cellos are fellows.,0
Talk shows are rainbows.,0
Storks are long-legged birds.,1
Ice skates are crates.,0
Meadows are windows.,0
Cellphones are scones.,0
Icebergs are large floating ice.,1
Mice are dice.,0
Lizards are blizzards.,0
Pockets are rockets.,0
Tadpoles are baby frogs.,1
Satellites are knights.,0
Silverfish are tiny pests.,1
Boots are fruits.,0
Jellyfish are see-through swimmers.,1
Mangos are tangos.,0
Cheetahs are fajitas.,0
Trains are rains.,0
Goldfish are goldsmiths.,0
Owlets are baby owls.,1
Cardinals are red-crested birds.,1
Sardines are small oily fish.,1
Puddles are small pools of water.,1
Egg timers are kitchen gadgets.,1
Whales are pales.,0
Plateaus are flat-topped hills.,1
Flamingos are mangos.,0
Lizards are reptiles.,1
Dates are sweet fruits.,1
Streetlights are knights.,0
Swings are fun playground equipment.,1
Space stations are orbiting habitats.,1
Quartets are minarets.,0
Yogurt is a fort.,0
Lollipops are treetops.,0
Moons are natural satellites.,1
Otters are waters.,0
Seals are marine animals.,1
Bookcases are furniture.,1
Doberman dogs are guard animals.,1
Spades are maids.,0
Ice is not solid water.,0
Horses are courses.,0
Marshmallows are wheelbarrows.,0
Beanies are knitted caps.,1
Horses are courses.,0
Rugby shirts are sportswear.,1
Macaws are colorful parrots.,1
Cars are jars.,0
Licorice is not a fortress.,1
Hats are mats.,0
Cameras are chimeras.,0
Volcanoes are landforms.,1
Sweatshirts are cotton tops.,1
Lollipops are tops.,0
Pyjamas are dramas.,0
Triangles are musical instruments.,1
Crawdads are crawdads.,0
Bagels are beagles.,0
Flamingos are pink birds.,1
Hailstones are ice pellets.,1
Pianos are musical keyboards.,1
Sushi is a bushy.,0
Glaze is not a shiny coating.,0
Robots are apricots.,0
Keychains are airplanes.,0
Cucumbers are vegetables.,1
Xylophones are stones.,0
Watermelons are pelicans.,0
Whales are pails.,0
Crayfish are freshwater creatures.,1
Black holes are moles.,0
Peacocks are rocks.,0
Pillows are willows.,0
Sea cucumbers are echinoderms.,1
Blueberries are cherries.,0
Camcorders are video recorders.,1
Spoons are dunes.,0
Socks are knitwear.,1
Ponies are small horses.,1
Sailboats are wind-powered boats.,1
Garlic is a pungent bulb.,1
Guitars are jars.,0
Zeppelins are pelicans.,0
Crickets are pickets.,0
Frosting is not sweet icing.,0
Jetties are protective structures.,1
Ice cream is a dream.,0
Waffles are castles.,0
Peppers are leapers.,0
Mosquitoes are biting insects.,1
Rowboats are watercraft.,1
Chickens are thickeners.,0
Macaroons are cartoons.,0
Chalk is not a hawk.,1
Caves are natural hollow spaces.,1
Spruces are coniferous trees.,1
Nectarines are smooth fruits.,1
Sailboats are raincoats.,0
Blankets are rockets.,0
Bicycles are transportation.,1
Xylophones are telephones.,0
Valkyries are canaries.,0
Harps are carp.,0
Birch trees are white-barked trees.,1
Kiwifruits are exotic fruits.,1
Penguins are birds.,1
Goldfinches are finch birds.,1
Maps are caps.,0
Stamps are lamps.,0
Vases are bases.,0
Croissants are croissants.,0
Planets are celestial objects.,1
Nickel is not a pickle.,1
Porcupines are clotheslines.,0
Zebras are striped animals.,1
Glaciers are warriors.,0
Lemons are demons.,0
Wasabi is wasabi.,0
Snowmen are chairmen.,0
Wasps are stinging insects.,1
Giraffes are laughs.,0
Quokkas are smiling marsupials.,1
Hoodies are informal jackets.,1
Desks are tables.,1
Cellphones are cones.,0
Islands are highlands.,0
Dune buggies are sand vehicles.,1
Cloaks are draped coverings.,1
Celery is a crunchy vegetable.,1
Eggplants are vegetables.,1
Jet skis are watercraft.,1
Clocks are socks.,0
Desks are disks.,0
Seals are wheels.,0
Fish are dishes.,0
Glasses are classes.,0
Cows are bows.,0
Rain is not essential for plants.,0
Marigolds are sunny flowers.,1
Towels are owls.,0
Saxophones are brass wind instruments.,1
Meteoroids are space rocks.,1
Seashells are dumbbells.,0
Wellington boots are mud-proof footwear.,1
Pears are chairs.,0
Brooks are babbling streams.,1
Peacocks are display birds.,1
Overcoats are heavy coats.,1
Saddles are paddles.,0
Diaries are personal journals.,1
Aphids are plant-feeding insects.,1
Bagpipes are wind instruments.,1
Turtles are kettles.,0
Vultures are scavenging birds.,1
Planes are aircraft.,1
Pillows are armadillos.,0
Lemons are sour fruits.,1
Gazebos are mosquitoes.,0
Caves are natural underground spaces.,1
Stories are hikories.,0
Colts are young male horses.,1
Squids are elongated mollusks.,1
Nightingales are melodious birds.,1
Chipmunks are small striped rodents.,1
Vibrato is not vibrato.,1
Trumpets are puppets.,0
Collard greens are leafy vegetables.,1
Cupcakes are rattlesnakes.,0
Knives are lives.,0
Swings are wings.,0
Beetles are kettles.,0
Spatulas are kitchen tools.,1
Hedgehogs are mammals.,1
High heels are elegant shoes.,1
Rhinos are dinos.,0
Hedgehogs are hedgehogs.,0
Mopeds are motorized bikes.,1
Juice are moose.,0
Hammers are pajamas.,0
Sombreros are wide-brimmed hats.,1
Goldfish are knishes.,0
Bicycles are transport.,1
Macaroons are monsoons.,0
Centipedes are multi-legged insects.,1
Mufflers are truffles.,0
Clocks are locks.,0
Kangaroos are marsupials.,1
Ukeleles are ukeleles.,0
Petunias are colorful flowers.,1
Geckos are nocturnal lizards.,1
Bears are pears.,0
Moccasins are shoes.,1
Rainforests are breakfasts.,0
Candles are handles.,0
Paprika is a red spice.,1
Sundials are sundials.,0
Cacti are taxes.,0
Tires are fires.,0
Acorns are tree nuts.,1
Dew is not morning moisture.,0
Pomegranates are seeded fruits.,1
Fireflies are french fries.,0
Trout are freshwater fish.,1
Walruses are tusked marine mammals.,1
Echidnas are spiny anteaters.,1
Dinosaurs are car doors.,0
Leaves are thieves.,0
Lions are pylons.,0
Neckties are butterflies.,0
Saffron is not an expensive spice.,0
Apricots are astronauts.,0
Crayons are prawns.,0
Cliffs are steep rock faces.,1
Salad is a ballad.,0
Maracas are handheld shakers.,1
Calculators are computing devices.,1
Peach pits are spaceships.,0
Peaches are stone fruits.,1
Hammocks are smocks.,0
Cave paintings are ancient artworks.,1
Mittens are kittens.,0
Monkeys are keys.,0
Banjos are mangos.,0
Landmarks are notable places.,1
Hickory trees are hardwood trees.,1
Cherries are ferries.,0
Flamingos are wading birds.,1
Pine nuts are edible seeds.,1
Lighthouses are blouses.,0
Ambulances are glances.,0
Marshmallows are shadows.,0
Aqueducts are water conveyance channels.,1
Polar bears are chairs.,0
Meteors are shooting stars.,1
Eggs are legs.,0
Spiders are gliders.,0
Taxis are hired cars.,1
Quasars are racecars.,0
Chestnuts are seeds.,1
Carpools are cesspools.,0
Lollipops are tops.,0
Lollipops are sweet lollies.,1
Leopards are spotted wild cats.,1
Caterpillars are butterfly larvae.,1
Eagles are powerful predatory birds.,1
Flannel is not flannel.,1
Spaghetti is spaghetti.,0
Scissors are cutting tools.,1
Milk is silk.,0
Chocolate is a locket.,0
Bison are large bovines.,1
Jeans are denim pants.,1
Chickens are poultry.,1
Asters are perennials.,1
Meteorites are kites.,0
Minnows are small fish.,1
Vans are types of vehicles.,1
Sandals are sandals.,0
Penguins are Antarctic birds.,1
Grapes are purple or green fruits.,1
Trowels are small garden shovels.,1
Street sweepers are cleaning vehicles.,1
Acorns are horns.,0
Roses are fragrant blooms.,1
Ibis are long-legged waders.,1
Palm trees are tropical trees.,1
Catamarans are twin-hulled boats.,1
Dominoes are game pieces.,1
Chickens are kitchens.,0
Pelicans are large-billed seabirds.,1
Pineapples are grapples.,0
Dolphins are alphabets.,0
Ostrich chicks are baby birds.,1
Beetles are kettles.,0
Melons are felons.,0
Buttercups are hiccups.,0
Frogs are green amphibians.,1
Counters are kitchen surfaces.,1
Hippos are animals.,1
School buses are yellow vehicles.,1
Jerseys are knitted tops.,1
Caterpillars are larvae of butterflies.,1
Jaguars are wild cats.,1
Newts are aquatic amphibians.,1
Cupboards are keycards.,0
Roses are flowers.,1
Buses are vehicles.,1
Cellophane is a weather vane.,0
Scarves are dwarfs.,0
Donuts are coconuts.,0
Cars are vehicles.,1
Airplanes are window panes.,0
Hail is frozen rain.,1
Peonies are phonies.,0
Lettuce is a leafy vegetable.,1
Zebras are zephyrs.,0
Lemons are citrus.,1
Sloths are slow-moving animals.,1
Mittens are britons.,0
Space shuttles are spacecraft.,1
Zeppelins are melons.,0
Jackets are clothing.,1
Bookshelves are elves.,0
Camels are panels.,0
Airplanes are flying vehicles.,1
Tiaras are mascaras.,0
Oak trees are flora.,1
Murals are wall art.,1
Candies are sweet treats.,1
Harps are tarps.,0
Notebooks are rooks.,0
Frogs are logs.,0
Wallabies are small kangaroos.,1
Salads are ballads.,0
Snowflakes are crystals.,1
Walnuts are astronauts.,0
Bagels are beagles.,0
Cheesecake is a creamy dessert.,1
Banjos are mangos.,0
Limousines are limousines.,0
Steam is not vaporized water.,0
Oboes are rainbows.,0
Ladybugs are helpful garden bugs.,1
Hedgehogs are logs.,0
Scissors are lizards.,0
Sailboats are overcoats.,0
Violets are flowers.,1
Coconuts are donuts.,0
Pancakes are handshakes.,0
Cashews are kidney-shaped nuts.,1
Roosters are male chickens.,1
Ladybugs are red beetles.,1
Guitars are stars.,0
Honey badgers are fearless animals.,1
Ladles are serving utensils.,1
Chickadees are small songbirds.,1
Seeds are needs.,0
Helicopters are aircraft.,1
Jackets are rackets.,0
Popcorn is a unicorn.,0
Tractors are farm vehicles.,1
Pineapples are tropical spikes.,1
Snowflakes are cakes.,0
Celery is not jewelry.,1
Pants are plants.,0
Bison are large herbivores.,1
Parrots are tropical birds.,1
Brushes are bushes.,0
Zebras are cabras.,0
Banisters are canisters.,0
Coveralls are full-body protective garments.,1
Cedar trees are evergreen trees.,1
Pitchers are pouring containers.,1
Crabs are sidestepping sea animals.,1
Hooded sweatshirts are warm clothing.,1
Almond milk is a dairy substitute.,1
Asparagus is not a spear-shaped vegetable.,0
Parakeets are colorful birds.,1
Parakeets are cleats.,0
Sleds are winter vehicles.,1
Magnolias are southern trees.,1
Alligators are calculators.,0
Sunflowers are watchtowers.,0
Trowels are gardening tools.,1
Canaries are fairies.,0
Manatees are gentle water giants.,1
Ribs are bibs.,0
Pizzas are savory pies.,1
Rivers are slivers.,0
Elephants are serpents.,0
Neckerchiefs are neck scarves.,1
Pillows are soft headrests.,1
Escalators are alligators.,0
Stars are celestial bodies.,1
Suitcases are fireplaces.,0
Handbags are teabags.,0
Hazelnuts are sweet nuts.,1
Blenders are mixing appliances.,1
Parakeets are small parrots.,1
Pigeons are religions.,0
Flutes are suits.,0
Butterflies are insects.,1
Eagles are majestic birds.,1
Zucchinis are zucchinis.,0
Aquariums are auditoriums.,0
Juicers are cruisers.,0
Possums are nocturnal marsupials.,1
Erasers are tasters.,0
Rowboats are oared vessels.,1
Xylophones are percussion instruments.,1
Fog is not a mist.,0
Sundials are ancient timekeepers.,1
Sketchbooks are artists' pads.,1
Lamps are stamps.,0
Lobsters are shellfish.,1
Honey is money.,0
Blackberries are canaries.,0
Hatchlings are earrings.,0
Newspapers are tazers.,0
Crickets are leaping insects.,1
Cassowaries are flightless birds.,1
Coats are boats.,0
Puzzles are brain games.,1
Kangaroos are shampoos.,0
Icebergs are verbs.,0
Almonds are commandments.,0
Balls are toys.,1
Monkeys are playful primates.,1
Mixers are baking appliances.,1
Parakeets are small parrots.,1
Surfboards are ocean toys.,1
Sailboats are raincoats.,0
Squids are sea creatures.,1
Jackets are rackets.,0
Quarterbacks are racks.,0
Wristwatches are time-telling devices.,1
Oatmeals are cartwheels.,0
Hamsters are gangsters.,0
Raspberries are ferries.,0
Coconuts are donuts.,0
Swans are fans.,0
Binoculars are janitors.,0
Boots are shoots.,0
Grapes are capes.,0
Clementines are mandarin oranges.,1
Lighthouses are lighthouses.,0
Falcons are raptor birds.,1
Slippers are clippers.,0
Griddles are riddles.,0
Headphones are ice cream cones.,0
Horseflies are biting insects.,1
Frosting is cake decoration.,1
Asparagus spears are vegetable stalks.,1
Ants are insects.,1
Notebooks are rooks.,0
Oranges are citrus.,1
Tongs are kitchen utensils.,1
Nightingales are singing birds.,1
Broccoli is a trolley.,0
Gondolas are Venetian rowboats.,1
Hummingbirds are tiny nectar feeders.,1
Computers are tutors.,0
Lakes are bodies of fresh water.,1
Cornfields are shields.,0
Rainbows are elbows.,0
Plums are juicy fruits.,1
Pretzels are twisted snacks.,1
Broccoli is not a trolley.,1
Carrots are parrots.,0
Lettuce is a leafy green.,1
Frost is icy coating.,1
Dolphins are intelligent sea creatures.,1
Tumeric is a golden-colored spice.,1
Spades are digging tools.,1
Speedboats are fast watercraft.,1
Gazelles are graceful creatures.,1
Kitchens are mittens.,0
Dump trucks are heavy-duty vehicles.,1
Pecans are smooth nuts.,1
Macaws are colorful parrots.,1
Onions are bulbs.,1
Bays are coastal bodies of water.,1
Scarves are accessories.,1
Platypuses are egg-laying mammals.,1
Ladybugs are mugs.,0
Grapes are fruits.,1
Blackberries are dictionaries.,0
Raspberries are raspberries.,0
Gorillas are primates.,1
Nectarines are nectarines.,0
Chickpeas are legumes.,1
Cactuses are desert plants.,1
Cinnamon is not a sweet spice.,0
Flutes are fruits.,0
Radishes are vegetables.,1
Pumpkins are napkins.,0
Halibut are large flatfish.,1
Rabbits are habits.,0
Pears are chairs.,0
Puzzle are muzzles.,0
Placemats are table settings.,1
Cliffs are riffs.,0
Planets are magnets.,0
Hiking boots are sturdy footwear.,1
Eucalyptus trees are trees.,1
Curtains are fountains.,0
Ambulances are emergency vehicles.,1
Blueberries are fairies.,0
Nachos are nachos.,0
Shampoo is kangaroo.,0
Lemons are melons.,0
Bananas are bandanas.,0
Forks are cutlery.,1
Hammocks are apricots.,0
Emus are large birds.,1
Cameras are llamas.,0
Rollerblades are inline skates.,1
Raindrops are teardrops.,0
Rivers are quivers.,0
Mint is a fragrant herb.,1
Gladioli are sword-shaped flowers.,1
Bridges are structures.,1
Olives are lives.,0
Donuts are huts.,0
Zebras are animals.,1
Ferrets are small mammals.,1
Chestnuts are hardwood tree nuts.,1
Suns are buns.,0
Spinach is a leafy vegetable.,1
Parrots are marionettes.,0
Crayons are prawns.,0
Brussels sprouts are Brussels sprouts.,0
Canoes are boats.,1
Butterflies are neckties.,0
Caps are headwear.,1
Banjos are instruments.,1
Penguin chicks are baby penguins.,1
Ostriches are ostriches.,0
Grizzly bears are chairs.,0
Supernovas are casanovas.,0
Endives are endives.,0
Oysters are registers.,0
Goggles are boggles.,0
Gardenias are arenas.,0
Acacias are thorned trees.,1
Cupboards are surfboards.,0
Skylights are termites.,0
Giraffes are tall animals.,1
Nymphs are young insects.,1
Frost is not white coating that forms on cold surfaces.,0
Polecats are Mustelids.,1
Water is not otter.,1
Dolphins are marine life.,1
Grasshoppers are copper.,0
Pillows are billows.,0
Wolves are canines.,1
Turtles are girdles.,0
Squirrels are pearls.,0
Slippers are comfortable shoes.,1
Raincoats are remote boats.,0
Pine trees are tall forest trees.,1
Donkeys are pack animals.,1
Fish are seafood.,1
Labradors are retriever dogs.,1
Quiches are savory tarts.,1
Broccoli is a vegetable.,1
Blueberries are small fruits.,1
Police cars are law enforcement vehicles.,1
Tigers are lighters.,0
Loaves are coves.,0
Cupcakes are lakes.,0
Beetles are kettles.,0
Berries are small edible fruits.,1
Violins are pins.,0
Toadstools are car pools.,0
Magicians are physicians.,0
Ballet shoes are dancers' footwear.,1
Bullfrogs are large amphibians.,1
Fire engines are firefighting vehicles.,1
Mussels are bivalve mollusks.,1
Iguanas are herbivorous lizards.,1
Blueberries are cherries.,0
Lambs are baby sheep.,1
Frescoes are mural paintings.,1
Submarines are tambourines.,0
Foxes are boxes.,0
Croissants are ants.,0
Puzzles are muzzles.,0
Horses are sources.,0
Caterpillars are chillers.,0
Sleet is not frozen rain.,0
Fog is a cloud close to the ground.,1
Battleships are large warships.,1
Cabbages are leafy vegetables.,1
Raisins are dried grapes.,1
Muffins are guffins.,0
Cobras are venomous snakes.,1
Waterfalls are notalls.,1
Castles are tassels.,0
Anacondas are giant snakes.,1
Cliffs are steep rock faces.,1
Elbows are rainbows.,0
Raincoats are remotes.,0
Bicycles are icicles.,0
Eggplants are ants.,0
Asters are star-shaped flowers.,1
Laptops are backdrops.,0
Dinghies are small boats.,1
Oranges are porches.,0
Violets are pilots.,0
Emails are snails.,0
Paintbrushes are crushes.,0
Diamonds are islands.,0
Acorns are oak tree seeds.,1
Toasters are kitchen appliances.,1
Tomatoes are potatoes.,0
Trains are rains.,0
Jelly beans are limousines.,0
Cellos are pillows.,0
Rabbits are creatures.,1
Camels are panels.,0
Essays are trays.,0
Puzzles are games.,1
Crabs are labs.,0
Tulips are blooms.,1
Olive oil is not a cooking liquid.,0
Penguin are engines.,0
Dollhouses are miniature homes.,1
Donuts are walnuts.,0
Licorice sticks are chewy confections.,1
Pancakes are earthquakes.,0
Crabs are cabs.,0
Porpoises are small cetaceans.,1
Morning dew is not water on grass at dawn.,0
Walnuts are nuts.,1
Paintbrushes are crushes.,0
Scallions are stallions.,0
Cupcakes are earthquakes.,0
Leopards are felines.,1
Pigeons are city birds.,1
Diaries are personal journals.,1
Turtles are hurdles.,0
Meadows are marshmallows.,0
Lemons are yellow fruits.,1
Sunflowers are showers.,0
Corn is not horn.,1
Starfish are sea stars.,1
Mustard is not a custard.,1
Baths are paths.,0
Cabbages are garages.,0
Balloons are lagoons.,0
Submarines are underwater vessels.,1
Raisins are basins.,0
Balls are malls.,0
Lanterns are centaurs.,0
Slippers are clippers.,0
Dragonflies are swift insects.,1
Orbits are closets.,0
Quilters are filters.,0
Jades are shades.,0
Flutes are woodwind instruments.,1
Dolphins are muffins.,0
Apricots are robots.,0
Hummingbirds are small hovering birds.,1
Seals are meals.,0
Passport are carports.,0
Napkins are pumpkins.,0
Tricycles are three-wheeled bikes.,1
Spoons are utensils.,1
Papayas are Himalayas.,0
Kangaroos are didgeridoos.,0
Speakers are sneakers.,0
Mammals are camels.,0
Nectarines are smooth-skinned fruits.,1
Peas are green vegetables.,1
Cardigans are sweaters.,1
Nebulae are star nurseries.,1
Camels are desert animals.,1
Valleys are alleys.,0
Guitars are cigars.,0
Peacocks are padlocks.,0
Shrimp are crustaceans.,1
Jackets are items of clothing.,1
Falcons are birds of prey.,1
Blenders are enders.,0
Greenhouses are blouses.,0
Satellites are flashlights.,0
Gazebos are hippos.,0
Meadows are pillows.,0
Jars are glass containers.,1
Skateboards are boards with wheels.,1
Peppers are lepers.,0
Beetroots are purple root vegetables.,1
Fjords are coastal waterways.,1
Frogs are jumping amphibians.,1
Koalas are marsupials.,1
Macadamia nuts are hard-shelled nuts.,1
Poppy flowers are bright and colorful.,1
Seashells are pastels.,0
Clocks are docks.,0
Hard hats are acrobats.,0
Beetles are bugs.,1
Peacocks are showy animals.,1
Flowers are towers.,0
Rays are flat fish.,1
Mugs are drinking vessels.,1
Puppets are trumpets.,0
Violets are small purple flowers.,1
Ponies are small horses.,1
Icicles are hanging ice.,1
Gondolas are Venetian boats.,1
Chimneys are peonies.,0
Soup is a hoop.,0
Dinosaurs are corridors.,0
Marbles are smooth glass balls.,1
Albatross are large seabirds.,1
Breezes are sneezes.,0
Cups are pups.,0
Seagulls are ocean birds.,1
Airplanes are great danes.,0
Radishes are badges.,0
Buses are houses.,0
Quiches are beaches.,0
Saxophones are stones.,0
Licorice is not a service.,1
Dolphins are intelligent sea creatures.,1
Pianos are bananos.,0
Buses are brushes.,0
Willow trees are graceful trees.,1
Canoes are igloos.,0
Notebooks are hooks.,0
Ballet is a buffet.,0
Canaries are songbirds.,1
Beanies are knit caps.,1
Pumpkins are munchkins.,0
Seals are pinnipeds.,1
Buffaloes are bovines.,1
Calendars are date charts.,1
Nightgowns are crowns.,0
Radishes are root vegetables.,1
Robins are common birds.,1
Syrup is not a chirrup.,1
Yachts are luxury boats.,1
Planets are large celestial bodies.,1
Redwood trees are towering trees.,1
Clams are seafood.,1
Surfboards are sea sports equipment.,1
Moons are spoons.,0
Galaxies are collections of stars.,1
Lamps are stamps.,0
Umbrellas are cellars.,0
Ticks are parasitic arachnids.,1
Lollipops are tops.,0
Trumpets are brass instruments.,1
Jam is a ram.,0
Hailstones are trombones.,0
Sunflowers are watchtowers.,0
Crows are shows.,0
Termites are wood-eating insects.,1
Stripes are pipes.,0
Toothbrushes are brushes.,0
School buses are yellow vehicles.,1
Blackberries are dark fruits.,1
Shadows are light obstructions.,1
Walnuts are astronauts.,0
Broccoli is not a green vegetable.,0
Refrigerators are appliances.,1
Oatmeal is not a water wheel.,1
Binoculars are optical instruments.,1
Dragonflies are six-legged insects.,1
Volcanoes are pianos.,0
Action figures are toy models.,1
Wrenches are tightening tools.,1
Pencils are stencils.,0
Faucets are rockets.,0
Mustard is a condiment.,1
Daisies are wildflowers.,1
Penguins are engines.,0
Unicorns are thorns.,0
Trench coats are long raincoats.,1
Squash is a type of vegetable.,1
Tuxedos are burritos.,0
Lamb are jam.,0
Porcupines are stop signs.,0
Caterpillars are pre-butterflies.,1
Lightning is not an electric discharge.,0
Fog is not low-lying clouds.,0
Aloe is a succulent plant.,1
Peas are keys.,0
Parrots are wheelbarrows.,0
Pizzas are blizzards.,0
Pili nuts are exotic nuts.,1
Cake is not a lake.,1
Sailboats are raincoats.,0
Flip-flops are informal sandals.,1
Cauliflower is not a vegetable.,0
Fireflies are luminescent insects.,1
Saucers are small plates.,1
Bandanas are cloth accessories.,1
Paintings are faintings.,0
Snakes are legless reptiles.,1
Sheep are animals.,1
Shoelaces are briefcases.,0
Balloons are raccoons.,0
Holidays are bouquets.,0
Pine trees are cone-bearing trees.,1
Cupcakes are earthquakes.,0
Lynx are wild cats with tufted ears.,1
Dragonflies are winged insects.,1
Seaweed is not a steed.,1
Slipper socks are building blocks.,0
Beets are seats.,0
Sleeping bags are camping gear.,1
Dew is not moisture.,0
Scarves are neckwear.,1
Gliders are engineless planes.,1
Sapphires are campfires.,0
Candles are sandals.,0
Loveseats are small sofas.,1
Zebras are striped horses.,1
Canoes are simple boats.,1
Cauliflowers are cruciferous vegetables.,1
Pillows are willows.,0
Oysters are mollusks.,1
Violins are stringed instruments.,1
Teacups are small cups.,1
Oasis are vases.,0
Hummingbirds are words.,0
Hippos are water-loving creatures.,1
Shirts are desserts.,0
Tigers are lighters.,0
Unicycles are icicles.,0
Pears are juicy fruits.,1
Deers are gears.,0
Peaches are speeches.,0
Videos are radios.,0
Keyboards are overboards.,0
Drum sets are percussion instruments.,1
Gumboots are rubber boots.,1
Pruning shears are plant trimmers.,1
Dolls are halls.,0
Galleons are large ships.,1
Sandwiches are bandages.,0
Grasshoppers are jumping insects.,1
Bulldogs are firelogs.,0
Stoats are small predators.,1
Sailboats are raincoats.,0
T-shirts are desserts.,0
Jellyfish are gelatinous sea creatures.,1
Lychees are small tropical fruits.,1
Anteaters are insectivorous animals.,1
Corn is not an ear of grain.,0
Apples are fruits.,1
Forests are florists.,0
Comets are bonnets.,0
Cupboards are snowboards.,0
Drawers are paws.,0
Pheasants are game birds.,1
Salamanders are amphibians.,1
Spatulas are flipping tools.,1
Moons are satellites.,1
Swings are wings.,0
Lettuce is a pettus.,0
Candles are spindles.,0
Sneakers are casual shoes.,1
Treasure chests are nests.,0
Kaleidoscopes are kaleidoscopes.,0
